ID,奥特曼名称,形态名称,技能名称,图片文件名
7,乔尼亚斯奥特曼,,普兰尼姆光线,乔尼亚斯奥特曼_普兰尼姆光线.jpg
7,乔尼亚斯奥特曼,,流星火花,乔尼亚斯奥特曼_流星火花.jpg
7,乔尼亚斯奥特曼,,断头回旋镖,乔尼亚斯奥特曼_断头回旋镖.jpg
8,爱迪奥特曼,,沙库修姆光线,爱迪奥特曼_沙库修姆光线.jpg
8,爱迪奥特曼,,爱迪飞踢,爱迪奥特曼_爱迪飞踢.jpg
8,爱迪奥特曼,,蒙萨尔特飞踢,爱迪奥特曼_蒙萨尔特飞踢.jpg
9,葛雷奥特曼,,葛雷光线,葛雷奥特曼_葛雷光线.jpg
9,葛雷奥特曼,,葛雷火焰,葛雷奥特曼_葛雷火焰.jpg
10,帕瓦特奥特曼,,Mega斯派修姆光线,帕瓦特奥特曼_Mega斯派修姆光线.jpg
10,帕瓦特奥特曼,,超级拳法,帕瓦特奥特曼_超级拳法.jpg
11,迪迦奥特曼,复合型,哉佩利敖光线,迪迦奥特曼_哉佩利敖光线.jpg
11,迪迦奥特曼,空中型,兰帕尔特光弹,迪迦奥特曼_兰帕尔特光弹.jpg
11,迪迦奥特曼,强力型,迪迦拉休尔光流,迪迦奥特曼_迪迦拉休尔光流.jpg
11,迪迦奥特曼,闪耀型,迪迦计时器闪光,迪迦奥特曼_迪迦计时器闪光.jpg
12,戴拿奥特曼,闪亮型,索尔捷特光线,戴拿奥特曼_索尔捷特光线.jpg
12,戴拿奥特曼,奇迹型,立波留姆光弹,戴拿奥特曼_立波留姆光弹.jpg
12,戴拿奥特曼,强壮型,强壮重击,戴拿奥特曼_强壮重击.jpg
13,盖亚奥特曼,V2型,量子冲击,盖亚奥特曼_量子冲击.jpg
13,盖亚奥特曼,至高型,盖亚粉碎,盖亚奥特曼_盖亚粉碎.jpg
13,盖亚奥特曼,至高型,光子冰刀,盖亚奥特曼_光子冰刀.jpg
14,高斯奥特曼,月神型,高斯月光,高斯奥特曼_高斯月光.jpg
14,高斯奥特曼,日蚀型,日食破坏,高斯奥特曼_日食破坏.jpg
14,高斯奥特曼,最终型,高斯提取,高斯奥特曼_高斯提取.jpg
15,奈克瑟斯奥特曼,蓝色成年型,十字风暴,奈克瑟斯奥特曼_十字风暴.jpg
15,奈克瑟斯奥特曼,红色成年型,奈克瑟斯光线,奈克瑟斯奥特曼_奈克瑟斯光线.jpg
15,奈克瑟斯奥特曼,诺亚形态,诺亚闪电,奈克瑟斯奥特曼_诺亚闪电.jpg
16,麦克斯奥特曼,,马库修姆光线,麦克斯奥特曼_马库修姆光线.jpg
16,麦克斯奥特曼,,麦克斯火花,麦克斯奥特曼_麦克斯火花.jpg
16,麦克斯奥特曼,,银河光击,麦克斯奥特曼_银河光击.jpg
17,梦比优斯奥特曼,普通形态,梦比优斯光线,梦比优斯奥特曼_梦比优斯光线.jpg
17,梦比优斯奥特曼,无限形态,梦比优斯光线,梦比优斯奥特曼_梦比优斯光线.jpg
17,梦比优斯奥特曼,凤凰形态,梦比优斯爆裂,梦比优斯奥特曼_梦比优斯爆裂.jpg
17,梦比优斯奥特曼,凤凰形态,扎古光线,梦比优斯奥特曼_扎古光线.jpg
18,银河奥特曼,,银河闪电击,银河奥特曼_银河闪电击.jpg
18,银河奥特曼,,维克特路姆光线,银河奥特曼_维克特路姆光线.jpg
19,银河S奥特曼,,银河S闪电击,银河S奥特曼_银河S闪电击.jpg
19,银河S奥特曼,,宇宙维克特流,银河S奥特曼_宇宙维克特流.jpg
20,艾克斯奥特曼,基础形态,艾克斯射线,艾克斯奥特曼_艾克斯射线.jpg
20,艾克斯奥特曼,虚拟哥莫拉,哥莫拉冲击,艾克斯奥特曼_哥莫拉冲击.jpg
20,艾克斯奥特曼,虚拟哥莫拉,虚拟哥莫拉装甲,艾克斯奥特曼_虚拟哥莫拉装甲.jpg
21,欧布奥特曼,起源形态,欧布高贾,欧布奥特曼_欧布高贾.jpg
21,欧布奥特曼,暗耀形态,Z修姆加农,欧布奥特曼_Z修姆加农.jpg
21,欧布奥特曼,辉煌形态,Z修姆光轮,欧布奥特曼_Z修姆光轮.jpg
22,捷德奥特曼,刚燃形态,毁灭拳击,捷德奥特曼_毁灭拳击.jpg
22,捷德奥特曼,尊捷形态,尊捷光轮,捷德奥特曼_尊捷光轮.jpg
22,捷德奥特曼,终极形态,捷德毁灭光线,捷德奥特曼_捷德毁灭光线.jpg
23,罗布奥特曼,罗索形态,罗布光轮,罗布奥特曼_罗布光轮.jpg
23,罗布奥特曼,格罗布形态,格罗布漩涡,罗布奥特曼_格罗布漩涡.jpg
23,罗布奥特曼,格罗布形态,火焰波浪,罗布奥特曼_火焰波浪.jpg
24,泰迦奥特曼,光之绊形态,泰迦螺旋冲击,泰迦奥特曼_泰迦螺旋冲击.jpg
24,泰迦奥特曼,煜形态,光之芒,泰迦奥特曼_光之芒.jpg
24,泰迦奥特曼,煜形态,奥特炸弹,泰迦奥特曼_奥特炸弹.jpg
25,泽塔奥特曼,阿尔法形态,阿尔法爆碎,泽塔奥特曼_阿尔法爆碎.jpg
25,泽塔奥特曼,贝塔形态,贝塔粉碎击,泽塔奥特曼_贝塔粉碎击.jpg
25,泽塔奥特曼,德尔塔形态,泽斯蒂姆光线,泽塔奥特曼_泽斯蒂姆光线.jpg
26,特利迦奥特曼,复合形态,哉拉修尔光线,特利迦奥特曼_哉拉修尔光线.jpg
26,特利迦奥特曼,强力形态,迪拉修尔光流,特利迦奥特曼_迪拉修尔光流.jpg
26,特利迦奥特曼,永恒核心形态,特利迦螺旋,特利迦奥特曼_特利迦螺旋.jpg
27,德凯奥特曼,闪亮形态,德凯闪亮光线,德凯奥特曼_德凯闪亮光线.jpg
27,德凯奥特曼,强劲形态,德凯冲击,德凯奥特曼_德凯冲击.jpg
27,德凯奥特曼,奇迹形态,奇迹光束,德凯奥特曼_奇迹光束.jpg
27,德凯奥特曼,光辉形态,德凯闪亮光线,德凯奥特曼_德凯闪亮光线.jpg
28,布莱泽奥特曼,通常形态,布莱泽脉冲,布莱泽奥特曼_布莱泽脉冲.jpg
28,布莱泽奥特曼,通常形态,布莱泽之弓,布莱泽奥特曼_布莱泽之弓.jpg
28,布莱泽奥特曼,甲胄形态,阿基托斯,布莱泽奥特曼_阿基托斯.jpg
29,亚刻奥特曼,通常形态,亚刻光线,亚刻奥特曼_亚刻光线.jpg
29,亚刻奥特曼,通常形态,亚刻飞踢,亚刻奥特曼_亚刻飞踢.jpg
